address_id,country,state,postcode,address,property_valuation
1,Australia,New South Wales,2016,060 Morning Avenue,10
2,Australia,New South Wales,2153,6 Meadow Vale Court,10
3,Australia,QLD,4211,0 Holy Cross Court,9
4,Australia,New South Wales,2448,17979 Del Mar Point,4
5,Australia,VIC,3216,9 Oakridge Court,9
6,Australia,New South Wales,2210,4 Delaware Trail,9
7,Australia,New South Wales,2650,49 Londonderry Lane,4
8,Australia,New South Wales,2023,97736 7th Trail,12
9,Australia,VIC,3044,93405 Ludington Park,8
10,Australia,QLD,4557,44339 Golden Leaf Alley,4
11,Australia,VIC,3799,2 Sutherland Street,6
12,Australia,New South Wales,2760,9 Mcbride Trail,8
13,Australia,New South Wales,2428,9861 New Castle Avenue,9
14,Australia,VIC,3331,52 Moland Street,4
15,Australia,VIC,3058,82391 Kensington Lane,9
16,Australia,New South Wales,2135,092 2nd Alley,12
17,Australia,New South Wales,2233,59 Spaight Circle,9
18,Australia,New South Wales,2444,032 Bartelt Crossing,8
19,Australia,New South Wales,2650,18 Jenna Center,7
20,Australia,New South Wales,2153,3 Cordelia Plaza,10
21,Australia,QLD,4413,28 5th Center,3
22,Australia,QLD,4740,52 Carey Alley,5
23,Australia,VIC,3218,96 Texas Plaza,7
24,Australia,QLD,4868,48 Eagan Avenue,4
25,Australia,QLD,4116,9 Buell Park,7
26,Australia,New South Wales,2519,02663 Buell Parkway,11
27,Australia,New South Wales,2135,2294 Pleasure Place,12
28,Australia,New South Wales,2756,2951 Petterle Place,9
29,Australia,New South Wales,2170,63 Lukken Drive,9
30,Australia,QLD,4005,833 Luster Way,8
31,Australia,QLD,4127,34 Russell Plaza,6
32,Australia,New South Wales,2535,78 Del Sol Hill,8
33,Australia,QLD,4726,54 Sage Plaza,1
34,Australia,QLD,4805,90 Lawn Parkway,4
35,Australia,New South Wales,2212,38726 Ilene Crossing,10
36,Australia,New South Wales,2207,3496 Brown Drive,8
37,Australia,VIC,3350,7188 Cody Way,9
38,Australia,VIC,3931,1 Claremont Park,10
