customer_id,first_name,last_name,gender,DOB,job_industry_category,job_title,wealth_segment,deceased_indicator,owns_car,address
1,Laraine,Medendorp,F,1953-10-12 00:00:00,Health,Executive Secretary,Mass Customer,N,Yes,060 Morning Avenue
2,Eli,Bockman,Male,1980-12-16 00:00:00,Financial Services,Administrative Officer,Mass Customer,N,Yes,6 Meadow Vale Court
3,Arlin,Dearle,Male,1954-01-20 00:00:00,Property,Recruiting Manager,Mass Customer,N,Yes,0 Holy Cross Court
4,Talbot,,Male,1961-10-03 00:00:00,IT,,Mass Customer,N,No,17979 Del Mar Point
5,Sheila-kathryn,Calton,Female,1977-05-13 00:00:00,,Senior Editor,Affluent Customer,N,Yes,9 Oakridge Court
6,Curr,Duckhouse,Male,1966-09-16 00:00:00,Retail,,High Net Worth,N,Yes,4 Delaware Trail
7,Fina,Merali,Female,1976-02-23 00:00:00,Financial Services,,Affluent Customer,N,Yes,49 Londonderry Lane
8,Rod,Inder,Male,1962-03-30 00:00:00,,Media Manager I,Mass Customer,N,No,97736 7th Trail
9,Mala,Lind,Female,1973-03-10 00:00:00,Argiculture,Business Systems Development Analyst,Affluent Customer,N,Yes,93405 Ludington Park
10,Fiorenze,Birdall,Female,1988-10-11 00:00:00,Financial Services,Senior Quality Engineer,Mass Customer,N,Yes,44339 Golden Leaf Alley
11,Uriah,Bisatt,Male,1954-04-30 00:00:00,Property,,Mass Customer,N,No,2 Sutherland Street
12,Sawyere,Flattman,Male,1994-07-21 00:00:00,Manufacturing,Nuclear Power Engineer,Mass Customer,N,No,9 Mcbride Trail
13,Gabriele,Norcross,Male,1955-02-15 00:00:00,Financial Services,Developer I,High Net Worth,N,Yes,9861 New Castle Avenue
14,Rayshell,Kitteman,Female,1983-03-25 00:00:00,Financial Services,Account Executive,Affluent Customer,N,No,52 Moland Street
15,Erroll,Radage,Male,2000-07-13 00:00:00,Manufacturing,Junior Executive,Mass Customer,N,No,82391 Kensington Lane
16,Harlin,Parr,Male,1977-02-27 00:00:00,,Media Manager IV,Mass Customer,N,Yes,092 2nd Alley
17,Heath,Faraday,Male,1962-03-19 00:00:00,,Sales Associate,Affluent Customer,N,Yes,59 Spaight Circle
18,Marjie,Neasham,Female,1967-07-06 00:00:00,,Professor,Affluent Customer,N,No,032 Bartelt Crossing
